INFO 2026-02-15 00:21:02,672 basehttp "GET / HTTP/1.1" 200 67
INFO 2026-02-15 00:21:07,539 basehttp "GET /admin/careers/career/ HTTP/1.1" 200 18926
INFO 2026-02-15 00:21:07,883 basehttp "GET /static/admin/css/dark_mode.css HTTP/1.1" 200 2808
INFO 2026-02-15 00:21:07,887 basehttp "GET /static/admin/css/base.css HTTP/1.1" 200 22120
INFO 2026-02-15 00:21:07,902 basehttp "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 200 2810
INFO 2026-02-15 00:21:07,933 basehttp "GET /static/admin/css/changelists.css HTTP/1.1" 200 6878
INFO 2026-02-15 00:21:07,943 basehttp "GET /static/admin/js/theme.js HTTP/1.1" 200 1653
INFO 2026-02-15 00:21:07,983 basehttp "GET /static/admin/css/responsive.css HTTP/1.1" 200 16565
INFO 2026-02-15 00:21:07,985 basehttp "GET /static/admin/js/jquery.init.js HTTP/1.1" 200 347
INFO 2026-02-15 00:21:07,989 basehttp "GET /static/admin/js/core.js HTTP/1.1" 200 6208
INFO 2026-02-15 00:21:08,009 basehttp "GET /static/admin/js/actions.js HTTP/1.1" 200 8076
INFO 2026-02-15 00:21:08,033 basehttp "GET /static/admin/js/prepopulate.js HTTP/1.1" 200 1531
INFO 2026-02-15 00:21:08,034 basehttp "GET /static/admin/js/urlify.js HTTP/1.1" 200 7887
INFO 2026-02-15 00:21:08,069 basehttp "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2026-02-15 00:21:08,073 basehttp "GET /static/admin/js/admin/RelatedObjectLookups.js HTTP/1.1" 200 9777
INFO 2026-02-15 00:21:08,090 basehttp "GET /static/admin/img/search.svg HTTP/1.1" 200 458
INFO 2026-02-15 00:21:08,260 basehttp "GET /static/admin/js/vendor/jquery/jquery.js HTTP/1.1" 200 285314
INFO 2026-02-15 00:21:08,355 basehttp "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 200 3063
INFO 2026-02-15 00:21:08,377 basehttp "GET /static/admin/js/filters.js HTTP/1.1" 200 978
INFO 2026-02-15 00:21:08,417 basehttp "GET /static/admin/js/vendor/xregexp/xregexp.js HTTP/1.1" 200 325171
INFO 2026-02-15 00:21:08,506 basehttp "GET /static/admin/img/icon-addlink.svg HTTP/1.1" 200 331
INFO 2026-02-15 00:21:08,513 basehttp "GET /static/admin/img/icon-viewlink.svg HTTP/1.1" 200 581
INFO 2026-02-15 00:21:08,528 basehttp "GET /static/admin/img/tooltag-add.svg HTTP/1.1" 200 331
INFO 2026-02-15 00:21:11,912 basehttp "GET /admin/ HTTP/1.1" 200 19300
INFO 2026-02-15 00:21:13,716 basehttp "GET /admin/accounts/academicinfo/ HTTP/1.1" 200 20148
INFO 2026-02-15 00:21:13,842 basehttp "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2026-02-15 00:21:15,927 basehttp "GET /admin/accounts/academicinfo/4/change/ HTTP/1.1" 200 23295
INFO 2026-02-15 00:21:16,000 basehttp "GET /static/admin/js/prepopulate_init.js HTTP/1.1" 200 586
INFO 2026-02-15 00:21:16,008 basehttp "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2026-02-15 00:21:16,032 basehttp "GET /static/admin/css/forms.css HTTP/1.1" 200 8525
INFO 2026-02-15 00:21:16,053 basehttp "GET /static/admin/js/change_form.js HTTP/1.1" 200 606
INFO 2026-02-15 00:21:16,074 basehttp "GET /static/admin/img/icon-changelink.svg HTTP/1.1" 200 380
INFO 2026-02-15 00:21:16,083 basehttp "GET /static/admin/css/widgets.css HTTP/1.1" 200 11973
INFO 2026-02-15 00:21:18,210 basehttp "GET /admin/accounts/academicinfo/ HTTP/1.1" 200 20148
INFO 2026-02-15 00:21:19,406 basehttp "GET /admin/accounts/academicinfo/3/change/ HTTP/1.1" 200 23295
INFO 2026-02-15 00:21:19,499 basehttp "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2026-02-15 00:21:21,111 basehttp "GET /admin/accounts/academicinfo/ HTTP/1.1" 200 20148
INFO 2026-02-15 00:21:22,562 basehttp "GET /admin/accounts/academicinfo/2/change/ HTTP/1.1" 200 23295
INFO 2026-02-15 00:21:22,639 basehttp "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2026-02-15 00:21:24,288 basehttp "GET /admin/accounts/academicinfo/ HTTP/1.1" 200 20148
INFO 2026-02-15 00:21:25,554 basehttp "GET /admin/accounts/careerpreferences/ HTTP/1.1" 200 20253
INFO 2026-02-15 00:21:25,636 basehttp "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2026-02-15 00:21:27,132 basehttp "GET /admin/accounts/careerpreferences/4/change/ HTTP/1.1" 200 21733
INFO 2026-02-15 00:21:27,197 basehttp "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2026-02-15 00:21:32,880 basehttp "GET /admin/accounts/careerpreferences/ HTTP/1.1" 200 20253
INFO 2026-02-15 00:21:36,705 basehttp "GET /admin/accounts/academicinfo/ HTTP/1.1" 200 20148
INFO 2026-02-15 00:21:39,051 basehttp "GET /admin/ HTTP/1.1" 200 19300
INFO 2026-02-15 00:23:42,857 basehttp "GET / HTTP/1.1" 200 67
INFO 2026-02-15 00:23:52,643 basehttp "GET /admin/accounts/user/ HTTP/1.1" 200 23237
INFO 2026-02-15 00:23:52,745 basehttp "GET /static/admin/css/base.css HTTP/1.1" 304 0
INFO 2026-02-15 00:23:52,757 basehttp "GET /static/admin/css/dark_mode.css HTTP/1.1" 304 0
INFO 2026-02-15 00:23:52,764 basehttp "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 304 0
INFO 2026-02-15 00:23:52,767 basehttp "GET /static/admin/js/vendor/jquery/jquery.js HTTP/1.1" 304 0
INFO 2026-02-15 00:23:52,768 basehttp "GET /static/admin/js/theme.js HTTP/1.1" 304 0
INFO 2026-02-15 00:23:52,778 basehttp "GET /static/admin/css/responsive.css HTTP/1.1" 304 0
INFO 2026-02-15 00:23:52,779 basehttp "GET /static/admin/css/changelists.css HTTP/1.1" 304 0
INFO 2026-02-15 00:23:52,796 basehttp "GET /static/admin/js/core.js HTTP/1.1" 304 0
INFO 2026-02-15 00:23:52,801 basehttp "GET /static/admin/js/admin/RelatedObjectLookups.js HTTP/1.1" 304 0
INFO 2026-02-15 00:23:52,802 basehttp "GET /static/admin/js/jquery.init.js HTTP/1.1" 304 0
INFO 2026-02-15 00:23:52,821 basehttp "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2026-02-15 00:23:52,824 basehttp "GET /static/admin/js/actions.js HTTP/1.1" 304 0
INFO 2026-02-15 00:23:52,835 basehttp "GET /static/admin/img/search.svg HTTP/1.1" 304 0
INFO 2026-02-15 00:23:52,835 basehttp "GET /static/admin/js/prepopulate.js HTTP/1.1" 304 0
